caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
04/04/1949,-0.001714,-0.001714,-0.000964,-0.000964,
04/05/1949,-0.000852,-0.000852,0.000307,0.000307,
04/06/1949,-0.002918,-0.002918,-0.003077,-0.003077,
04/07/1949,0.000069,0.000069,-0.001426,-0.001426,
04/08/1949,0.003968,0.003968,0.005571,0.005571,
04/09/1949,0.002870,0.002870,0.003924,0.003924,
04/11/1949,-0.002298,-0.002298,-0.003823,-0.003823,
04/12/1949,0.002787,0.002718,0.000659,0.000258,
04/13/1949,-0.001178,-0.001178,-0.002997,-0.002997,
04/14/1949,-0.001899,-0.001899,-0.003774,-0.003774,
04/16/1949,0.004001,0.004001,0.001965,0.001965,
04/18/1949,0.001020,0.000822,-0.000871,-0.001254,
04/19/1949,-0.003957,-0.004041,-0.004720,-0.004810,
04/20/1949,-0.002041,-0.004265,-0.002487,-0.002998,
04/21/1949,-0.014748,-0.015064,-0.016773,-0.017044,
04/22/1949,-0.001147,-0.001147,-0.001464,-0.001464,
04/23/1949,0.003328,0.003328,0.005854,0.005854,
04/25/1949,-0.004284,-0.004284,-0.004721,-0.004721,
04/26/1949,0.005643,0.005643,0.006237,0.006237,
04/27/1949,-0.000024,-0.000024,-0.000121,-0.000121,
04/28/1949,-0.004646,-0.004742,-0.004613,-0.004896,
04/29/1949,0.000753,0.000753,-0.001277,-0.001277,
04/30/1949,0.002404,0.002404,0.003099,0.003099,
05/02/1949,0.002412,0.002412,0.000135,0.000135,
05/03/1949,0.004867,0.004258,0.001047,0.000820,
05/04/1949,0.011781,0.011690,0.013630,0.013445,
05/05/1949,-0.000457,-0.000818,-0.000200,-0.000666,
05/06/1949,-0.005250,-0.006032,-0.005464,-0.005753,
05/07/1949,-0.000426,-0.000426,-0.001588,-0.001588,
05/09/1949,-0.001921,-0.002090,-0.001387,-0.001573,
05/10/1949,-0.001129,-0.004222,-0.002549,-0.002929,
05/11/1949,0.002171,0.001787,0.003123,0.002260,
05/12/1949,0.002241,0.001890,0.004880,0.003913,
05/13/1949,0.000878,0.000843,0.004545,0.004384,
05/14/1949,0.002757,0.002757,0.006457,0.006457,
05/16/1949,0.003109,0.003012,0.003960,0.003519,
05/17/1949,-0.002611,-0.002611,-0.002906,-0.002906,
05/18/1949,-0.001553,-0.002207,-0.000552,-0.001232,
05/19/1949,-0.006177,-0.006590,-0.007796,-0.008241,
05/20/1949,-0.004602,-0.004602,-0.005145,-0.005145,
05/21/1949,0.000078,0.000078,0.001300,0.001300,
05/23/1949,-0.009711,-0.009737,-0.009111,-0.009312,
05/24/1949,-0.006104,-0.006104,-0.010096,-0.010096,
05/25/1949,0.005246,0.005221,0.008087,0.007745,
05/26/1949,0.000042,-0.000342,0.002190,0.000934,
05/27/1949,-0.002830,-0.003521,-0.003825,-0.004583,
05/31/1949,-0.022555,-0.022701,-0.025153,-0.025334,
06/01/1949,-0.002576,-0.003637,0.000196,-0.000322,
06/02/1949,0.000524,0.000080,0.001496,0.001072,
06/03/1949,-0.006353,-0.007078,-0.009598,-0.010291,
06/06/1949,-0.016270,-0.016270,-0.021363,-0.021363,
06/07/1949,0.001394,0.001297,0.004828,0.004575,
